Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Home_Away,Bowling_Arm,Pace_Spin
JC Adams (WI),18,8,43,2,2.38,21.5,54,v Australia,Melbourne,26 Dec 2000,0,0,0
Shakib Al Hasan (BDESH),19,7,44,2,2.31,22,57,v New Zealand,Wellington,12 Jan 2008,0,0,0
PR Adams (SA),26.3,7,46,2,1.73,23,79.5,v England,Nottingham,14 Aug 2003,0,0,0
DL Vettori (NZ),19,4,46,2,2.42,23,57,v Australia,Brisbane,20 Nov 2008,0,0,0
HMRKB Herath (SL),11,1,50,2,4.54,25,33,v Bangladesh,Dhaka,27 Jan 2014,0,0,0
AC Agar (AUS),23,9,52,2,2.26,26,69,v Bangladesh,Chittagong,4 Sep 2017,0,0,0
MA Beer (AUS),25.4,9,56,2,2.18,28,77,v West Indies,Port of Spain,15 Apr 2012,0,0,0
HMRKB Herath (SL),23.2,4,57,2,2.44,28.5,70,v South Africa,Cape Town,2 Jan 2017,0,0,0
AF Giles (ENG),34,13,59,2,1.73,29.5,102,v Sri Lanka,Colombo (SSC),15 Mar 2001,0,0,0
JA Warrican (WI),15,1,62,2,4.13,31,45,v Australia,Sydney,3 Jan 2016,0,0,0
AF Giles (ENG),12,0,67,2,5.58,33.5,36,v West Indies,Kingston,11 Mar 2004,0,0,0
V Permaul (WI),23.4,2,67,2,2.83,33.5,71,v India,Kolkata,6 Nov 2013,0,0,0
PR Adams (SA),19,3,70,2,3.68,35,57,v Bangladesh,Dhaka,1 May 2003,0,0,0
ZS Ansari (ENG),19,0,76,2,4,38,57,v Bangladesh,Dhaka,28 Oct 2016,0,0,0
ZS Ansari (ENG),23,1,77,2,3.34,38.5,69,v India,Rajkot,9 Nov 2016,0,0,0
MJ Clarke (AUS),37,10,78,2,2.1,39,111,v India,Bengaluru,9 Oct 2008,0,0,0
Taijul Islam (BDESH),28,3,78,2,2.78,39,84,v Sri Lanka,Colombo (PSS),15 Mar 2017,0,0,0
AC Agar (AUS),35,9,82,2,2.34,41,105,v England,Nottingham,10 Jul 2013,0,0,0
DL Vettori (NZ),23,2,83,2,3.6,41.5,69,v England,Leeds,3 Jun 2004,0,0,0
SJ Benn (WI),27,4,84,2,3.11,42,81,v England,Lord's,6 May 2009,0,0,0
PL Harris (SA),32,4,85,2,2.65,42.5,96,v England,Birmingham,30 Jul 2008,0,0,0
DL Vettori (NZ),33.1,2,86,2,2.59,43,99.5,v South Africa,Centurion,15 Apr 2006,0,0,0
SJ Benn (WI),34,5,86,2,2.52,43,102,v Australia,Brisbane,26 Nov 2009,0,0,0
