Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Home_Away,Bowling_Arm,Pace_Spin
GP Swann (ENG),22.1,4,76,5,3.42,15.2,26.6,v Bangladesh,Manchester,4 Jun 2010,1,1,0
Harbhajan Singh (INDIA),31.5,6,82,5,2.57,16.4,38.2,v Australia,Mumbai,3 Nov 2004,1,1,0
M Muralitharan (SL),29.4,7,85,5,2.86,17,35.6,v Pakistan,Kandy,3 Apr 2006,1,1,0
A Mishra (INDIA),34.4,7,85,5,2.45,17,41.6,v Australia,Nagpur,6 Nov 2008,1,1,0
SCG MacGill (AUS),37,7,87,5,2.35,17.4,44.4,v West Indies,Hobart,17 Nov 2005,1,1,0
A Kumble (INDIA),19,0,90,5,4.73,18,22.8,v Australia,Mumbai,3 Nov 2004,1,1,0
CH Gayle (WI),18.3,3,91,5,4.91,18.2,22.2,v Pakistan,Bridgetown,26 May 2005,1,1,0
Harbhajan Singh (INDIA),49,12,96,5,1.95,19.2,58.8,v Australia,Mohali,17 Oct 2008,1,1,0
M Muralitharan (SL),35.3,6,98,5,2.76,19.6,42.6,v Bangladesh,Colombo (SSC),6 Sep 2001,1,1,0
R Ashwin (INDIA),40,11,98,5,2.45,19.6,48,v West Indies,Kolkata,6 Nov 2013,1,1,0
Sikandar Raza (ZIM),48,12,99,5,2.06,19.8,57.6,v West Indies,Bulawayo,29 Oct 2017,1,1,0
V Sehwag (INDIA),40,9,104,5,2.6,20.8,48,v Australia,Delhi,29 Oct 2008,1,1,0
MD Craig (NZ),35.1,11,108,5,3.07,21.6,42.2,v Sri Lanka,Wellington,3 Jan 2015,1,1,0
Danish Kaneria (PAK),32,3,110,5,3.43,22,38.4,v New Zealand,Lahore,1 May 2002,1,1,0
NM Lyon (AUS),42.4,9,111,5,2.6,22.2,51.2,v India,Adelaide,24 Jan 2012,1,1,0
Harbhajan Singh (INDIA),57.3,15,115,5,2,23,69,v West Indies,Kolkata,30 Oct 2002,1,1,0
PHT Kaushal (SL),35.5,3,118,5,3.29,23.6,43,v Pakistan,Colombo (PSS),25 Jun 2015,1,1,0
MDK Perera (SL),34,4,119,5,3.5,23.8,40.8,v Bangladesh,Galle,7 Mar 2017,1,1,0
RL Chase (WI),36.1,4,121,5,3.34,24.2,43.4,v India,Kingston,30 Jul 2016,1,1,0
Harbhajan Singh (INDIA),49.4,13,129,5,2.59,25.8,59.6,v England,Mumbai,18 Mar 2006,1,1,0
MM Ali (ENG),31.3,5,130,5,4.12,26,37.8,v Australia,Cardiff,8 Jul 2015,1,1,0
A Kumble (INDIA),69.4,20,133,5,1.9,26.6,83.6,v England,Mumbai,18 Mar 2006,1,1,0
SCG MacGill (AUS),41.5,8,138,5,3.29,27.6,50.2,v India,Melbourne,26 Dec 2003,1,1,0
NM Lyon (AUS),35.4,3,138,5,3.86,27.6,42.8,v India,Brisbane,17 Dec 2014,1,1,0
NM Lyon (AUS),94,38,140,5,1.48,28,112.8,v South Africa,Adelaide,22 Nov 2012,1,1,0
Mehidy Hasan Miraz (BDESH),45,9,142,5,3.15,28.4,54,v Australia,Dhaka,27 Aug 2017,1,1,0
NM Lyon (AUS),60,16,145,5,2.41,29,72,v England,Brisbane,23 Nov 2017,1,1,0
